#PATH-POINTS-START Path
-78.704,56.313,120,0
-76.706,56.226,120
-74.708,56.302,120
-72.722,56.538,120
-70.761,56.925,120
-68.832,57.452,120
-66.942,58.104,120
-65.093,58.865,120
-63.286,59.722,120
-61.519,60.66,120
-59.792,61.667,120
-58.1,62.734,120
-56.44,63.849,120
-54.807,65.004,120
-53.2,66.194,120
-51.614,67.412,120
-50.044,68.652,120
-48.491,69.912,120
-46.949,71.186,120
-45.417,72.472,120
-43.893,73.766,120
-42.373,75.066,120
-40.856,76.369,120
-39.34,77.674,120
-37.824,78.978,120
-36.305,80.28,120
-34.783,81.577,120
-33.257,82.87,120
-31.724,84.154,120
-30.184,85.431,120
-28.637,86.697,120
-27.079,87.952,120
-25.513,89.195,120
-23.936,90.426,120
-22.347,91.641,120
-20.747,92.84,120
-19.134,94.023,120
-17.509,95.189,120
-15.871,96.336,120
-14.218,97.463,120
-12.552,98.569,120
-10.873,99.655,120
-9.179,100.719,120
-7.472,101.761,120
-5.75,102.777,120
-4.013,103.769,120
-2.262,104.736,120
-0.498,105.677,120
1.28,106.593,120
3.072,107.482,120
4.877,108.344,120
6.695,109.177,120
8.525,109.983,120
10.368,110.76,120
12.223,111.508,120
14.09,112.226,120
15.967,112.914,120
17.856,113.573,120
19.754,114.202,120
21.662,114.802,120
23.579,115.372,120
25.505,115.912,120
27.439,116.422,120
29.38,116.901,120
31.329,117.351,120
33.285,117.771,120
35.246,118.162,120
37.213,118.524,120
39.185,118.857,120
41.161,119.162,120
43.142,119.439,120
45.126,119.689,120
47.114,119.913,120
49.104,120.107,120
51.097,120.273,120
53.092,120.413,120
55.089,120.529,120
59,120.686,120,0
59,120.686,0,0
#PATH-POINTS-START Path
120.574,150.354,120,0
120.574,150.914,120,0
120.574,150.914,0,0
#PATH-POINTS-START Path
92.866,135.24,120,0
91.456,133.822,120
90.019,132.431,120
88.554,131.069,120
87.062,129.737,120
85.54,128.44,120
83.991,127.175,120
82.416,125.943,120
80.814,124.745,120
79.185,123.586,120
77.531,122.461,120
75.852,121.374,120
74.147,120.329,120
72.419,119.322,120
70.667,118.357,120
68.892,117.436,120
67.096,116.556,120
65.276,115.726,120
63.438,114.94,120
61.578,114.204,120
59.699,113.518,120
57.803,112.883,120
